"word","LikeCount","Recent","Topic"
"128","ship","Low Popularity","Top Priority","Comparison"
"129","spring","Low Popularity","Top Priority","Comparison"
"130","monthly","Low Popularity","Top Priority","Comparison"
"131","payment","Low Popularity","Top Priority","Comparison"
"132","super","Low Popularity","Top Priority","Comparison"
"133","helpful","Low Popularity","Top Priority","Comparison"
"134","video","Low Popularity","Top Priority","Comparison"
"135","account","Low Popularity","Top Priority","Comparison"
"136","store","Low Popularity","Top Priority","Comparison"
"137","platforms","Low Popularity","Top Priority","Comparison"
"138","guess","Low Popularity","Medium Priority","Comparison"
"139","printful","Low Popularity","Medium Priority","Comparison"
"140","gonna","Low Popularity","Medium Priority","Comparison"
"141","teespring","Low Popularity","Medium Priority","Comparison"
"142","stuffed","Low Popularity","Medium Priority","Comparison"
"143","size","Low Popularity","Medium Priority","Comparison"
"144","understand","Low Popularity","Medium Priority","Comparison"
"145","outsource","Low Popularity","Medium Priority","Comparison"
"146","printing","Low Popularity","Medium Priority","Comparison"
"147","printful","Low Popularity","Medium Priority","Comparison"
"148","house","Low Popularity","Medium Priority","Comparison"
"149","terrible","Low Popularity","Medium Priority","Comparison"
"150","reviews","Low Popularity","Medium Priority","Comparison"
"151","quality","Low Popularity","Medium Priority","Comparison"
"152","gonna","Low Popularity","Medium Priority","Comparison"
"153","realize","Low Popularity","Medium Priority","Comparison"
"154","printful","Low Popularity","Medium Priority","Comparison"
"155","tips","Low Popularity","Medium Priority","Comparison"
"156","glad","Low Popularity","Medium Priority","Comparison"
"157","watched","Low Popularity","Medium Priority","Comparison"
"158","selecting","Low Popularity","Medium Priority","Comparison"
"159","print","Low Popularity","Medium Priority","Comparison"
"160","provider","Low Popularity","Medium Priority","Comparison"
"161","love","Low Popularity","Medium Priority","Comparison"
"162","video","Low Popularity","Medium Priority","Comparison"
"163","shirts","Low Popularity","Medium Priority","Comparison"
"164","badass","Low Popularity","Medium Priority","Comparison"
"165","soft","Low Popularity","Medium Priority","Comparison"
"166","tees","Low Popularity","Medium Priority","Comparison"
"167","feel","Low Popularity","Medium Priority","Comparison"
"168","vintage","Low Popularity","Medium Priority","Comparison"
"169","material","Low Popularity","Medium Priority","Comparison"
"170","notch","Low Popularity","Medium Priority","Comparison"
"171","sell","Low Popularity","Medium Priority","Comparison"
"172","customer","Low Popularity","Medium Priority","Comparison"
"173","crappy","Low Popularity","Medium Priority","Comparison"
"174","product","Low Popularity","Medium Priority","Comparison"
"175","heard","Low Popularity","Medium Priority","Comparison"
"176","gildan","Low Popularity","Medium Priority","Comparison"
"177","pretty","Low Popularity","Medium Priority","Comparison"
"178","cotton","Low Popularity","Medium Priority","Comparison"
"179","entry","Low Popularity","Medium Priority","Comparison"
"180","level","Low Popularity","Medium Priority","Comparison"
"181","texture","Low Popularity","Medium Priority","Comparison"
"182","star","Low Popularity","Medium Priority","Comparison"
"183","wars","Low Popularity","Medium Priority","Comparison"
"184","walmart","Low Popularity","Medium Priority","Comparison"
"185","white","Low Popularity","Medium Priority","Comparison"
